master_individual_id,swid,customer_id,email_address,marketing_effort_key,template_key,title,first_name,middle_initial,last_name,gender,birthday,geography_key,age,facebook_connect_flg,employee_flg,registration_date,registration_affiliate_name,marketing_effort_code_key,registration_flg,affluence,affluent_suburbia,numzip,tenure,postal_code,country,state_province,state_abbreviation,city,dma_code,dma_name,msa_name,age_range,ethnic_code,ethnic_group,ethnic_group_cd,household_income,aerobic_exercise_ind,assimilation_cd,cable_tv_ind,child_age_0to2_present,child_age_3to5_present,child_age_6to10_present,child_age_11to15_present,child_age_16to17_present,card_holder,gas_department_retail_card_holder,travel_entertainment_card_holder,premium_card_holder,dwelling_type_cd,first_individual_age_range_cd,first_individual_education_cd,first_individual_gender_cd,first_individual_occ_cd,home_assessed_value_num,home_equity_available_cd,home_market_value_cd,home_owner_ind,own_rent,household_size_cd,international_travel_ind,investing_grouping_ind,length_of_residence_cd,likely_investors_ind,marital_status,net_worth_cd,number_of_adults,number_of_children,personal_investments_ind,children_present,running_exercise_ind,satellite_dish_tv_ind,second_individual_age_range_cd,second_individual_education_cd,second_individual_gender_cd,stocks_bonds_investment_ind,vacation_travel_rv_ind,vacation_travel_us_ind
alpha,Muhammed MacIntyre,3,eswancock0@yelp.com,38.94,35,Nunavut,Joseph,Muhammed MacIntyre,Muhammed MacIntyre,Female,5/27/2018,38.94,35,Nunavut,alpha,,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,35,Nunavut,alpha,3,eswancock0@yelp.com,38.94,M,OIur94,RTwf98,OPkv86
vVKDHqt,Barry French,293,palekseev1@google.de,208.16,68.02,Nunavut,Mathilda,Barry French,Barry French,Male,10/14/2017,208.16,68.02,Nunavut,vVKDHqt,,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,68.02,Nunavut,vVKDHqt,293,palekseev1@google.de,208.16,F,QNrd08,VBgd79,DLhb79
DtbYxhE,Barry French,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,Mildred,Barry French,Barry French,Male,08-11-18,8.69,2.99,Nunavut,DtbYxhE,,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,2.99,Nunavut,DtbYxhE,293,bwaltho2@usgs.gov,8.69,M,OSkd10,HZyx16,PCxd34
AbjjIkZ,Clay Rozendal,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,Ray,Clay Rozendal,Clay Rozendal,Female,3/24/2018,195.99,3.99,Nunavut,AbjjIkZ,,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,3.99,Nunavut,AbjjIkZ,483,nmulholland3@zimbio.com,195.99,M,WCsu07,DAwd66,HSus22
sTkHyco,Carlos Soltero,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,Essie,Carlos Soltero,Carlos Soltero,Female,1/27/2018,21.78,5.94,Nunavut,sTkHyco,,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,5.94,Nunavut,sTkHyco,515,bcardus4@sfgate.com,21.78,M,FOvm68,YTax08,KLxv93
PPoKWzm,Carlos Soltero,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,Ellen,Carlos Soltero,Carlos Soltero,Male,6/18/2018,6.64,4.95,Nunavut,PPoKWzm,,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,4.95,Nunavut,PPoKWzm,515,aiggulden5@nih.gov,6.64,M,RJay09,LVsz53,GVnd23
UFPRJlA,Carl Jackson,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,Bradley,Carl Jackson,Carl Jackson,Female,5/18/2018,7.3,7.72,Nunavut,UFPRJlA,,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,7.72,Nunavut,UFPRJlA,613,nstollen6@tamu.edu,7.3,F,QNvy61,PCvt19,QOpd56
MDfRfLK,Carl Jackson,613,easplen7@t-online.de,42.76,6.22,Nunavut,Alberta,Carl Jackson,Carl Jackson,Male,5/18/2018,42.76,6.22,Nunavut,MDfRfLK,,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,6.22,Nunavut,MDfRfLK,613,easplen7@t-online.de,42.76,F,KGdq24,VWca63,VOjh38
bHzqlan,Monica Federle,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,Katherine,Monica Federle,Monica Federle,Male,05-01-18,138.14,35,Nunavut,bHzqlan,,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,35,Nunavut,bHzqlan,643,bkillingback8@cloudflare.com,138.14,M,XChy83,WIve01,QIgb81
hxaARRa,Dorothy Badders,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,Nell,Dorothy Badders,Dorothy Badders,Female,4/16/2018,4.98,8.33,Nunavut,hxaARRa,,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,8.33,Nunavut,hxaARRa,678,elitchmore9@newsvine.com,4.98,M,EPgj05,OWfd63,UQlu53
